,ct2010,county,boro_code,population,tract,zipcode,tract2010
0,9.0,085,5,1757,000900,10301.0,9
1,98.0,061,1,7350,009800,10017.0,98
2,98.0,061,1,7350,009800,10022.0,98
3,100.0,061,1,1771,010000,10017.0,100
4,100.0,061,1,1771,010000,10022.0,100
5,100.0,061,1,1771,010000,10152.0,100
6,102.0,061,1,126,010200,10017.0,102
7,102.0,061,1,126,010200,10022.0,102
8,102.0,061,1,126,010200,10055.0,102
9,104.0,061,1,1008,010400,10019.0,104
10,104.0,061,1,1008,010400,10020.0,104
11,104.0,061,1,1008,010400,10103.0,104
12,104.0,061,1,1008,010400,10119.0,104
13,113.0,061,1,115,011300,10018.0,113
14,113.0,061,1,115,011300,10036.0,113
15,114.02,061,1,1910,011402,10022.0,11402
16,114.02,061,1,1910,011402,10065.0,11402
17,130.0,061,1,3399,013000,10021.0,130
18,130.0,061,1,3399,013000,10075.0,130
19,140.0,061,1,7773,014000,10028.0,140
20,140.0,061,1,7773,014000,10075.0,140
21,148.01,061,1,3198,014801,10028.0,14801
22,184.0,061,1,7459,018400,10029.0,184
23,184.0,061,1,7459,018400,10035.0,184
24,190.0,061,1,3452,019000,10026.0,190
25,190.0,061,1,3452,019000,10035.0,190
26,206.0,061,1,3411,020600,10035.0,206
27,206.0,061,1,3411,020600,10037.0,206
28,78.0,047,3,5459,007800,11220.0,78
29,78.0,047,3,5459,007800,11232.0,78
30,80.0,047,3,3835,008000,11220.0,80
31,80.0,047,3,3835,008000,11232.0,80
32,249.0,061,1,1200,024900,10032.0,249
33,261.0,061,1,13814,026100,10032.0,261
34,261.0,061,1,13814,026100,10033.0,261
35,263.0,061,1,9255,026300,10032.0,263
36,263.0,061,1,9255,026300,10033.0,263
37,269.0,061,1,9657,026900,10033.0,269
38,269.0,061,1,9657,026900,10040.0,269
39,277.0,061,1,7725,027700,10040.0,277
40,5.01,047,3,4536,000501,11201.0,501
41,41.0,047,3,3649,004100,11201.0,41
42,41.0,047,3,3649,004100,11217.0,41
43,58.0,047,3,3205,005800,11209.0,58
44,60.0,047,3,2745,006000,11209.0,60
45,67.0,047,3,3941,006700,11231.0,67
46,69.0,047,3,3581,006900,11201.0,69
47,69.0,047,3,3581,006900,11217.0,69
48,69.0,047,3,3581,006900,11231.0,69
49,74.0,047,3,5856,007400,11220.0,74
50,98.0,047,3,7403,009800,11220.0,98
51,101.0,047,3,4459,010100,11232.0,101
52,102.0,047,3,5081,010200,11220.0,102
53,104.0,047,3,5677,010400,11220.0,104
54,108.0,047,3,4303,010800,11220.0,108
55,110.0,047,3,2702,011000,11218.0,110
56,110.0,047,3,2702,011000,11219.0,110
57,110.0,047,3,2702,011000,11232.0,110
58,114.0,047,3,4538,011400,11219.0,114
59,114.0,047,3,4538,011400,11220.0,114
60,128.01,047,3,2326,012801,11219.0,12801
61,128.01,047,3,2326,012801,11220.0,12801
62,130.0,047,3,5244,013000,11209.0,130
63,130.0,047,3,5244,013000,11220.0,130
64,132.0,047,3,2044,013200,11220.0,132
65,132.0,047,3,2044,013200,11228.0,132
66,133.0,047,3,4462,013300,11215.0,133
67,137.0,047,3,3494,013700,11215.0,137
68,139.0,047,3,3520,013900,11215.0,139
69,151.0,047,3,4185,015100,11215.0,151
70,153.0,047,3,2843,015300,11215.0,153
71,155.0,047,3,3741,015500,11215.0,155
72,157.0,047,3,4079,015700,11215.0,157
73,291.02,085,5,3012,029102,10303.0,29102
74,291.02,085,5,3012,029102,10314.0,29102
75,170.0,047,3,3419,017000,11228.0,170
76,178.0,047,3,3058,017800,11214.0,178
77,186.0,047,3,2158,018600,11214.0,186
78,186.0,047,3,2158,018600,11228.0,186
79,188.0,047,3,2875,018800,11204.0,188
80,188.0,047,3,2875,018800,11214.0,188
81,188.0,047,3,2875,018800,11228.0,188
82,190.0,047,3,4682,019000,11204.0,190
83,190.0,047,3,4682,019000,11219.0,190
84,190.0,047,3,4682,019000,11228.0,190
85,192.0,047,3,3702,019200,11219.0,192
86,194.0,047,3,4031,019400,11219.0,194
87,195.0,047,3,3901,019500,11205.0,195
88,196.0,047,3,4430,019600,11219.0,196
89,196.0,047,3,4430,019600,11228.0,196
90,197.0,047,3,3561,019700,11205.0,197
91,197.0,047,3,3561,019700,11238.0,197
92,198.0,047,3,1860,019800,11228.0,198
93,204.0,047,3,1992,020400,11228.0,204
94,208.0,047,3,3216,020800,11219.0,208
95,208.0,047,3,3216,020800,11228.0,208
96,210.0,047,3,4380,021000,11219.0,210
97,212.0,047,3,4858,021200,11219.0,212
98,214.0,047,3,2194,021400,11219.0,214
99,219.0,047,3,3576,021900,11216.0,219
100,219.0,047,3,3576,021900,11238.0,219
101,220.0,047,3,4924,022000,11219.0,220
102,221.0,047,3,4174,022100,11216.0,221
103,221.0,047,3,4174,022100,11238.0,221
104,222.0,047,3,4281,022200,11219.0,222
105,227.0,047,3,3556,022700,11216.0,227
106,227.0,047,3,3556,022700,11238.0,227
107,235.0,047,3,4062,023500,11205.0,235
108,236.0,047,3,5669,023600,11204.0,236
109,236.0,047,3,5669,023600,11219.0,236
110,238.0,047,3,3990,023800,11204.0,238
111,238.0,047,3,3990,023800,11219.0,238
112,240.0,047,3,4626,024000,11204.0,240
113,240.0,047,3,4626,024000,11219.0,240
114,242.0,047,3,2994,024200,11204.0,242
115,242.0,047,3,2994,024200,11219.0,242
116,245.0,047,3,4535,024500,11216.0,245
117,246.0,047,3,2892,024600,11204.0,246
118,247.0,047,3,2398,024700,11216.0,247
119,247.0,047,3,2398,024700,11238.0,247
120,248.0,047,3,3013,024800,11204.0,248
121,249.0,047,3,4630,024900,11216.0,249
122,250.0,047,3,1539,025000,11204.0,250
123,250.0,047,3,1539,025000,11219.0,250
124,406.0,047,3,3533,040600,11223.0,406
125,252.0,047,3,5310,025200,11204.0,252
126,254.0,047,3,4280,025400,11204.0,254
127,256.0,047,3,3338,025600,11204.0,256
128,258.0,047,3,4888,025800,11204.0,258
129,260.0,047,3,3310,026000,11204.0,260
130,262.0,047,3,2548,026200,11204.0,262
131,262.0,047,3,2548,026200,11219.0,262
132,262.0,047,3,2548,026200,11228.0,262
133,263.0,047,3,1834,026300,11216.0,263
134,263.0,047,3,1834,026300,11221.0,263
135,264.0,047,3,4931,026400,11204.0,264
136,264.0,047,3,4931,026400,11214.0,264
137,266.0,047,3,3464,026600,11204.0,266
138,267.0,047,3,3937,026700,11216.0,267
139,267.0,047,3,3937,026700,11221.0,267
140,268.0,047,3,3841,026800,11204.0,268
141,268.0,047,3,3841,026800,11214.0,268
142,269.0,047,3,3302,026900,11216.0,269
143,270.0,047,3,2450,027000,11214.0,270
144,272.0,047,3,3565,027200,11214.0,272
145,273.0,047,3,3228,027300,11213.0,273
146,273.0,047,3,3228,027300,11216.0,273
147,273.0,047,3,3228,027300,11233.0,273
148,274.0,047,3,3019,027400,11204.0,274
149,274.0,047,3,3019,027400,11214.0,274
150,276.0,047,3,4103,027600,11214.0,276
151,278.0,047,3,3181,027800,11214.0,278
152,279.0,047,3,3705,027900,11221.0,279
153,284.0,047,3,3712,028400,11214.0,284
154,285.01,047,3,460,028501,11206.0,28501
155,288.0,047,3,3816,028800,11214.0,288
156,291.0,047,3,2896,029100,11221.0,291
157,293.0,047,3,3156,029300,11221.0,293
158,297.0,047,3,4302,029700,11233.0,297
159,298.0,047,3,4126,029800,11214.0,298
160,298.0,047,3,4126,029800,11223.0,298
161,300.0,047,3,4237,030000,11214.0,300
162,300.0,047,3,4237,030000,11223.0,300
163,305.0,047,3,6267,030500,11238.0,305
164,309.0,047,3,2190,030900,11213.0,309
165,317.01,047,3,3306,031701,11216.0,31701
166,323.0,047,3,3665,032300,11225.0,323
167,329.0,047,3,6207,032900,11225.0,329
168,331.0,047,3,4046,033100,11203.0,331
169,331.0,047,3,4046,033100,11213.0,331
170,331.0,047,3,4046,033100,11225.0,331
171,337.0,047,3,4254,033700,11213.0,337
172,337.0,047,3,4254,033700,11216.0,337
173,339.0,047,3,4829,033900,11213.0,339
174,339.0,047,3,4829,033900,11216.0,339
175,341.0,047,3,2809,034100,11213.0,341
176,341.0,047,3,2809,034100,11216.0,341
177,342.0,047,3,6404,034200,11224.0,342
178,363.0,047,3,4331,036300,11212.0,363
179,363.0,047,3,4331,036300,11233.0,363
180,388.0,047,3,3833,038800,11223.0,388
181,396.0,047,3,1824,039600,11223.0,396
182,397.0,047,3,3701,039700,11221.0,397
183,399.0,047,3,3893,039900,11221.0,399
184,401.0,047,3,3244,040100,11207.0,401
185,401.0,047,3,3244,040100,11221.0,401
186,404.0,047,3,2352,040400,11214.0,404
187,404.0,047,3,2352,040400,11223.0,404
188,408.0,047,3,3499,040800,11223.0,408
189,413.0,047,3,4062,041300,11207.0,413
190,413.0,047,3,4062,041300,11221.0,413
191,414.01,047,3,1653,041401,11223.0,41401
192,415.0,047,3,4409,041500,11221.0,415
193,417.0,047,3,3215,041700,11221.0,417
194,418.0,047,3,2598,041800,11223.0,418
195,419.0,047,3,3871,041900,11221.0,419
196,419.0,047,3,3871,041900,11237.0,419
197,420.0,047,3,1831,042000,11223.0,420
198,420.0,047,3,1831,042000,11230.0,420
199,421.0,047,3,4321,042100,11221.0,421
200,421.0,047,3,4321,042100,11237.0,421
201,426.0,047,3,4373,042600,11204.0,426
202,426.0,047,3,4373,042600,11223.0,426
203,427.0,047,3,5303,042700,11237.0,427
204,428.0,047,3,3692,042800,11204.0,428
205,428.0,047,3,3692,042800,11214.0,428
206,428.0,047,3,3692,042800,11223.0,428
207,429.0,047,3,5327,042900,11237.0,429
208,430.0,047,3,3602,043000,11204.0,430
209,430.0,047,3,3602,043000,11214.0,430
210,431.0,047,3,5369,043100,11237.0,431
211,432.0,047,3,4522,043200,11204.0,432
212,433.0,047,3,4284,043300,11221.0,433
213,433.0,047,3,4284,043300,11237.0,433
214,434.0,047,3,3480,043400,11204.0,434
215,435.0,047,3,5202,043500,11221.0,435
216,435.0,047,3,5202,043500,11237.0,435
217,436.0,047,3,4532,043600,11204.0,436
218,439.0,047,3,4146,043900,11237.0,439
219,440.0,047,3,2939,044000,11204.0,440
220,440.0,047,3,2939,044000,11230.0,440
221,441.0,047,3,5261,044100,11237.0,441
222,442.0,047,3,2991,044200,11223.0,442
223,442.0,047,3,2991,044200,11230.0,442
224,443.0,047,3,4896,044300,11237.0,443
225,444.0,047,3,3514,044400,11230.0,444
226,446.0,047,3,2190,044600,11204.0,446
227,446.0,047,3,2190,044600,11230.0,446
228,452.0,047,3,2768,045200,11230.0,452
229,454.0,047,3,1771,045400,11230.0,454
230,456.0,047,3,2399,045600,11230.0,456
231,460.0,047,3,3969,046000,11230.0,460
232,470.0,047,3,2719,047000,11204.0,470
233,472.0,047,3,2777,047200,11204.0,472
234,476.0,047,3,3563,047600,11204.0,476
235,476.0,047,3,3563,047600,11230.0,476
236,495.0,047,3,2920,049500,11206.0,495
237,495.0,047,3,2920,049500,11211.0,495
238,499.0,047,3,1860,049900,11211.0,499
239,499.0,047,3,1860,049900,11222.0,499
240,503.0,047,3,2486,050300,11206.0,503
241,503.0,047,3,2486,050300,11211.0,503
242,505.0,047,3,4062,050500,11206.0,505
243,508.01,047,3,4112,050801,11226.0,50801
244,510.01,047,3,4361,051001,11226.0,51001
245,514.0,047,3,7947,051400,11226.0,514
246,516.01,047,3,5506,051601,11210.0,51601
247,516.01,047,3,5506,051601,11226.0,51601
248,516.02,047,3,4235,051602,11226.0,51602
249,517.0,047,3,2343,051700,11211.0,517
250,517.0,047,3,2343,051700,11222.0,517
251,517.0,047,3,2343,051700,11249.0,517
252,518.0,047,3,3307,051800,11226.0,518
253,518.0,047,3,3307,051800,11230.0,518
254,520.0,047,3,4684,052000,11218.0,520
255,520.0,047,3,4684,052000,11226.0,520
256,520.0,047,3,4684,052000,11230.0,520
257,526.0,047,3,4737,052600,11218.0,526
258,526.0,047,3,4737,052600,11230.0,526
259,528.0,047,3,1868,052800,11230.0,528
260,530.0,047,3,3736,053000,11230.0,530
261,532.0,047,3,2659,053200,11230.0,532
262,533.0,047,3,6907,053300,11206.0,533
263,533.0,047,3,6907,053300,11211.0,533
264,534.0,047,3,4400,053400,11230.0,534
265,538.0,047,3,4414,053800,11230.0,538
266,542.0,047,3,4789,054200,11229.0,542
267,542.0,047,3,4789,054200,11230.0,542
268,544.0,047,3,3344,054400,11229.0,544
269,544.0,047,3,3344,054400,11230.0,544
270,550.0,047,3,3496,055000,11229.0,550
271,552.0,047,3,3279,055200,11229.0,552
272,558.0,047,3,2331,055800,11229.0,558
273,560.0,047,3,3481,056000,11229.0,560
274,562.0,047,3,1593,056200,11229.0,562
275,564.0,047,3,2600,056400,11229.0,564
276,566.0,047,3,2821,056600,11229.0,566
277,568.0,047,3,1453,056800,11229.0,568
278,569.0,047,3,1537,056900,11222.0,569
279,569.0,047,3,1537,056900,11249.0,569
280,570.0,047,3,3548,057000,11229.0,570
281,571.0,047,3,3800,057100,11222.0,571
282,572.0,047,3,5551,057200,11229.0,572
283,573.0,047,3,2593,057300,11222.0,573
284,574.0,047,3,3211,057400,11229.0,574
285,576.0,047,3,3141,057600,11229.0,576
286,578.0,047,3,3478,057800,11229.0,578
287,580.0,047,3,4164,058000,11229.0,580
288,586.0,047,3,3012,058600,11229.0,586
289,586.0,047,3,3012,058600,11235.0,586
290,591.0,047,3,3998,059100,11222.0,591
291,592.0,047,3,4641,059200,11229.0,592
292,592.0,047,3,4641,059200,11235.0,592
293,594.01,047,3,8186,059401,11229.0,59401
294,594.01,047,3,8186,059401,11235.0,59401
295,594.02,047,3,5179,059402,11229.0,59402
296,594.02,047,3,5179,059402,11235.0,59402
297,596.0,047,3,2505,059600,11235.0,596
298,600.0,047,3,6572,060000,11235.0,600
299,632.0,047,3,1588,063200,11229.0,632
300,636.0,047,3,1453,063600,11234.0,636
301,638.0,047,3,1882,063800,11229.0,638
302,638.0,047,3,1882,063800,11234.0,638
303,640.0,047,3,1832,064000,11229.0,640
304,640.0,047,3,1832,064000,11234.0,640
305,646.0,047,3,2402,064600,11234.0,646
306,648.0,047,3,2240,064800,11234.0,648
307,650.0,047,3,1622,065000,11234.0,650
308,652.0,047,3,1053,065200,11234.0,652
309,654.0,047,3,1571,065400,11234.0,654
310,656.0,047,3,1788,065600,11234.0,656
311,658.0,047,3,1992,065800,11234.0,658
312,660.0,047,3,2295,066000,11234.0,660
313,670.0,047,3,2897,067000,11234.0,670
314,672.0,047,3,1587,067200,11234.0,672
315,674.0,047,3,2011,067400,11234.0,674
316,676.0,047,3,1969,067600,11234.0,676
317,678.0,047,3,2650,067800,11234.0,678
318,680.0,047,3,2300,068000,11234.0,680
319,682.0,047,3,3050,068200,11234.0,682
320,686.0,047,3,1784,068600,11234.0,686
321,688.0,047,3,1652,068800,11234.0,688
322,690.0,047,3,2234,069000,11234.0,690
323,692.0,047,3,3000,069200,11234.0,692
324,728.0,047,3,4065,072800,11234.0,728
325,734.0,047,3,2145,073400,11210.0,734
326,738.0,047,3,3988,073800,11210.0,738
327,738.0,047,3,3988,073800,11234.0,738
328,740.0,047,3,4122,074000,11210.0,740
329,744.0,047,3,2797,074400,11210.0,744
330,746.0,047,3,2600,074600,11210.0,746
331,746.0,047,3,2600,074600,11229.0,746
332,746.0,047,3,2600,074600,11234.0,746
333,748.0,047,3,1741,074800,11210.0,748
334,750.0,047,3,2823,075000,11210.0,750
335,752.0,047,3,955,075200,11210.0,752
336,754.0,047,3,1495,075400,11210.0,754
337,756.0,047,3,2144,075600,11210.0,756
338,760.0,047,3,3017,076000,11210.0,760
339,760.0,047,3,3017,076000,11230.0,760
340,762.0,047,3,5214,076200,11210.0,762
341,762.0,047,3,5214,076200,11230.0,762
342,764.0,047,3,3725,076400,11230.0,764
343,768.0,047,3,3104,076800,11230.0,768
344,784.0,047,3,2612,078400,11210.0,784
345,790.0,047,3,5197,079000,11210.0,790
346,790.0,047,3,5197,079000,11226.0,790
347,792.0,047,3,3820,079200,11226.0,792
348,796.01,047,3,4577,079601,11225.0,79601
349,796.01,047,3,4577,079601,11226.0,79601
350,800.0,047,3,3877,080000,11225.0,800
351,804.0,047,3,3217,080400,11203.0,804
352,804.0,047,3,3217,080400,11225.0,804
353,804.0,047,3,3217,080400,11226.0,804
354,806.0,047,3,3730,080600,11203.0,806
355,806.0,047,3,3730,080600,11225.0,806
356,814.0,047,3,2767,081400,11203.0,814
357,818.0,047,3,4667,081800,11203.0,818
358,818.0,047,3,4667,081800,11226.0,818
359,824.0,047,3,4267,082400,11203.0,824
360,824.0,047,3,4267,082400,11226.0,824
361,832.0,047,3,2318,083200,11203.0,832
362,836.0,047,3,2100,083600,11203.0,836
363,836.0,047,3,2100,083600,11210.0,836
364,838.0,047,3,2335,083800,11203.0,838
365,840.0,047,3,2482,084000,11203.0,840
366,846.0,047,3,1882,084600,11203.0,846
367,848.0,047,3,1546,084800,11203.0,848
368,850.0,047,3,1540,085000,11203.0,850
369,862.0,047,3,3368,086200,11203.0,862
370,864.0,047,3,2149,086400,11203.0,864
371,864.0,047,3,2149,086400,11212.0,864
372,864.0,047,3,2149,086400,11236.0,864
373,866.0,047,3,3225,086600,11203.0,866
374,866.0,047,3,3225,086600,11212.0,866
375,868.0,047,3,3526,086800,11203.0,868
376,870.0,047,3,3275,087000,11203.0,870
377,878.0,047,3,2698,087800,11203.0,878
378,890.0,047,3,5892,089000,11212.0,890
379,896.0,047,3,3327,089600,11212.0,896
380,898.0,047,3,1688,089800,11212.0,898
381,902.0,047,3,3290,090200,11212.0,902
382,916.0,047,3,4104,091600,11212.0,916
383,924.0,047,3,2906,092400,11212.0,924
384,135.0,047,3,3733,013500,11215.0,135
385,928.0,047,3,3136,092800,11212.0,928
386,928.0,047,3,3136,092800,11236.0,928
387,930.0,047,3,2808,093000,11236.0,930
388,954.0,047,3,4474,095400,11236.0,954
389,964.0,047,3,1715,096400,11236.0,964
390,966.0,047,3,2558,096600,11236.0,966
391,968.0,047,3,1512,096800,11236.0,968
392,970.0,047,3,2498,097000,11236.0,970
393,984.0,047,3,2207,098400,11236.0,984
394,986.0,047,3,3145,098600,11236.0,986
395,992.0,047,3,2348,099200,11236.0,992
396,994.0,047,3,1886,099400,11236.0,994
397,996.0,047,3,4240,099600,11236.0,996
398,1004.0,047,3,2756,100400,11236.0,1004
399,1006.0,047,3,2441,100600,11236.0,1006
400,1008.0,047,3,2205,100800,11236.0,1008
401,1010.0,047,3,2196,101000,11236.0,1010
402,1014.0,047,3,2280,101400,11236.0,1014
403,1016.0,047,3,1810,101600,11236.0,1016
404,1020.0,047,3,2291,102000,11236.0,1020
405,1024.0,047,3,2134,102400,11236.0,1024
406,1026.0,047,3,2617,102600,11236.0,1026
407,1110.0,047,3,3365,111000,11207.0,1110
408,1124.0,047,3,3169,112400,11207.0,1124
409,1126.0,047,3,3388,112600,11207.0,1126
410,1128.0,047,3,3910,112800,11207.0,1128
411,1130.0,047,3,4000,113000,11207.0,1130
412,1134.0,047,3,3163,113400,11207.0,1134
413,1146.0,047,3,3308,114600,11207.0,1146
414,1150.0,047,3,2855,115000,11207.0,1150
415,1150.0,047,3,2855,115000,11208.0,1150
416,1152.0,047,3,3075,115200,11207.0,1152
417,1156.0,047,3,4091,115600,11207.0,1156
418,1160.0,047,3,2126,116000,11207.0,1160
419,1162.0,047,3,2276,116200,11207.0,1162
420,1162.0,047,3,2276,116200,11208.0,1162
421,1164.0,047,3,3394,116400,11208.0,1164
422,1170.0,047,3,1930,117000,11207.0,1170
423,1170.0,047,3,1930,117000,11208.0,1170
424,1172.01,047,3,2369,117201,11207.0,117201
425,1172.01,047,3,2369,117201,11208.0,117201
426,1172.02,047,3,3104,117202,11208.0,117202
427,1194.0,047,3,4248,119400,11208.0,1194
428,33.0,005,2,3693,003300,10454.0,33
429,35.0,005,2,3821,003500,10454.0,35
430,35.0,005,2,3821,003500,10455.0,35
431,38.0,005,2,1437,003800,10473.0,38
432,40.01,005,2,1428,004001,10472.0,4001
433,175.0,005,2,7140,017500,10456.0,175
434,44.0,005,2,4446,004400,10472.0,44
435,48.0,005,2,4536,004800,10472.0,48
436,68.0,005,2,3435,006800,10472.0,68
437,70.0,005,2,4899,007000,10472.0,70
438,89.0,005,2,3373,008900,10459.0,89
439,121.01,005,2,2970,012101,10459.0,12101
440,125.0,005,2,4510,012500,10459.0,125
441,131.0,005,2,5240,013100,10456.0,131
442,131.0,005,2,5240,013100,10459.0,131
443,143.0,005,2,1193,014300,10451.0,143
444,143.0,005,2,1193,014300,10456.0,143
445,162.0,005,2,1984,016200,10465.0,162
446,166.0,005,2,2324,016600,10465.0,166
447,179.02,005,2,4007,017902,10456.0,17902
448,202.0,005,2,2257,020200,10461.0,202
449,202.0,005,2,2257,020200,10462.0,202
450,204.0,005,2,3264,020400,10461.0,204
451,204.0,005,2,3264,020400,10462.0,204
452,206.01,005,2,2816,020601,10462.0,20601
453,216.01,005,2,4428,021601,10460.0,21601
454,216.01,005,2,4428,021601,10462.0,21601
455,221.02,005,2,5453,022102,10452.0,22102
456,223.0,005,2,5275,022300,10452.0,223
457,232.0,005,2,2804,023200,10462.0,232
458,236.0,005,2,2110,023600,10460.0,236
459,236.0,005,2,2110,023600,10462.0,236
460,243.0,005,2,5446,024300,10453.0,243
461,246.0,005,2,2365,024600,10462.0,246
462,250.0,005,2,2716,025000,10461.0,250
463,250.0,005,2,2716,025000,10462.0,250
464,252.0,005,2,2780,025200,10461.0,252
465,252.0,005,2,2780,025200,10462.0,252
466,254.0,005,2,2325,025400,10461.0,254
467,287.0,005,2,3332,028700,10463.0,287
468,288.0,005,2,3274,028800,10461.0,288
469,301.0,005,2,1314,030100,10463.0,301
470,312.0,005,2,1779,031200,10469.0,312
471,314.0,005,2,2228,031400,10469.0,314
472,330.0,005,2,5925,033000,10467.0,330
473,360.0,005,2,2977,036000,10469.0,360
474,365.02,005,2,2182,036502,10457.0,36502
475,365.02,005,2,2182,036502,10460.0,36502
476,368.0,005,2,2152,036800,10469.0,368
477,370.0,005,2,2307,037000,10469.0,370
478,372.0,005,2,2083,037200,10467.0,372
479,372.0,005,2,2083,037200,10469.0,372
480,392.0,005,2,1738,039200,10467.0,392
481,394.0,005,2,5143,039400,10466.0,394
482,394.0,005,2,5143,039400,10467.0,394
483,396.0,005,2,4743,039600,10466.0,396
484,396.0,005,2,4743,039600,10467.0,396
485,396.0,005,2,4743,039600,10469.0,396
486,398.0,005,2,3442,039800,10466.0,398
487,398.0,005,2,3442,039800,10469.0,398
488,401.0,005,2,4425,040100,10468.0,401
489,403.03,005,2,5149,040303,10468.0,40303
490,403.04,005,2,4009,040304,10468.0,40304
491,404.0,005,2,3483,040400,10466.0,404
492,405.01,005,2,4521,040501,10458.0,40501
493,405.02,005,2,7172,040502,10458.0,40502
494,406.0,005,2,3870,040600,10466.0,406
495,407.01,005,2,3291,040701,10468.0,40701
496,422.0,005,2,3338,042200,10466.0,422
497,423.0,005,2,4658,042300,10467.0,423
498,424.0,005,2,2485,042400,10466.0,424
499,428.0,005,2,2069,042800,10466.0,428
500,429.02,005,2,4445,042902,10467.0,42902
501,430.0,005,2,3648,043000,10466.0,430
502,434.0,005,2,3952,043400,10466.0,434
503,434.0,005,2,3952,043400,10470.0,434
504,436.0,005,2,2237,043600,10466.0,436
505,2.0,081,4,3323,000200,11421.0,2
506,10.0,081,4,4305,001000,11421.0,10
507,14.0,081,4,3903,001400,11421.0,14
508,16.0,081,4,2848,001600,11421.0,16
509,28.0,081,4,3216,002800,11418.0,28
510,28.0,081,4,3216,002800,11421.0,28
511,31.0,081,4,1015,003100,11101.0,31
512,38.0,081,4,2681,003800,11416.0,38
513,39.0,081,4,1690,003900,11101.0,39
514,39.0,081,4,1690,003900,11106.0,39
515,51.0,081,4,2056,005100,11101.0,51
516,51.0,081,4,2056,005100,11106.0,51
517,65.02,081,4,3764,006502,11103.0,6502
518,79.0,081,4,3376,007900,11102.0,79
519,79.0,081,4,3376,007900,11106.0,79
520,94.0,081,4,2717,009400,11417.0,94
521,102.0,081,4,3085,010200,11420.0,102
522,104.0,081,4,3556,010400,11419.0,104
523,104.0,081,4,3556,010400,11420.0,104
524,106.0,081,4,4161,010600,11419.0,106
525,106.0,081,4,4161,010600,11420.0,106
526,111.0,081,4,3419,011100,11105.0,111
527,112.0,081,4,2321,011200,11416.0,112
528,112.0,081,4,2321,011200,11417.0,112
529,113.0,081,4,4554,011300,11105.0,113
530,114.0,081,4,1277,011400,11416.0,114
531,115.0,081,4,2252,011500,11102.0,115
532,115.0,081,4,2252,011500,11105.0,115
533,116.0,081,4,2226,011600,11416.0,116
534,116.0,081,4,2226,011600,11419.0,116
535,117.0,081,4,3866,011700,11103.0,117
536,117.0,081,4,3866,011700,11105.0,117
537,119.0,081,4,1565,011900,11105.0,119
538,121.0,081,4,2241,012100,11105.0,121
539,124.0,081,4,3096,012400,11418.0,124
540,124.0,081,4,3096,012400,11419.0,124
541,126.01,081,4,2889,012601,11416.0,12601
542,126.01,081,4,2889,012601,11418.0,12601
543,126.01,081,4,2889,012601,11419.0,12601
544,126.02,081,4,2736,012602,11416.0,12602
545,126.02,081,4,2736,012602,11418.0,12602
546,128.0,081,4,2357,012800,11418.0,128
547,130.0,081,4,1598,013000,11418.0,130
548,136.0,081,4,1981,013600,11415.0,136
549,140.0,081,4,3926,014000,11415.0,140
550,140.0,081,4,3926,014000,11418.0,140
551,143.0,081,4,4074,014300,11103.0,143
552,145.0,081,4,2267,014500,11103.0,145
553,147.0,081,4,3224,014700,11103.0,147
554,149.0,081,4,2233,014900,11103.0,149
555,153.0,081,4,2018,015300,11103.0,153
556,154.0,081,4,2637,015400,11419.0,154
557,156.0,081,4,3284,015600,11419.0,156
558,158.02,081,4,4722,015802,11419.0,15802
559,161.0,081,4,2482,016100,11101.0,161
560,161.0,081,4,2482,016100,11103.0,161
561,164.0,081,4,3852,016400,11419.0,164
562,164.0,081,4,3852,016400,11420.0,164
563,166.0,081,4,3585,016600,11419.0,166
564,166.0,081,4,3585,016600,11420.0,166
565,168.0,081,4,3314,016800,11420.0,168
566,172.0,081,4,2115,017200,11420.0,172
567,180.0,081,4,1457,018000,11420.0,180
568,185.01,081,4,3333,018501,11104.0,18501
569,185.01,081,4,3333,018501,11377.0,18501
570,185.02,081,4,3610,018502,11104.0,18502
571,185.02,081,4,3610,018502,11377.0,18502
572,190.0,081,4,2749,019000,11434.0,190
573,190.0,081,4,2749,019000,11435.0,190
574,190.0,081,4,2749,019000,11436.0,190
575,230.0,081,4,2205,023000,11432.0,230
576,230.0,081,4,2205,023000,11435.0,230
577,232.0,081,4,5823,023200,11435.0,232
578,247.0,081,4,1577,024700,11377.0,247
579,259.0,081,4,3504,025900,11377.0,259
580,261.0,081,4,7364,026100,11377.0,261
581,266.0,081,4,2046,026600,11433.0,266
582,266.0,081,4,2046,026600,11434.0,266
583,269.01,081,4,4836,026901,11372.0,26901
584,269.01,081,4,4836,026901,11373.0,26901
585,269.02,081,4,3675,026902,11373.0,26902
586,270.0,081,4,1989,027000,11433.0,270
587,270.0,081,4,1989,027000,11434.0,270
588,270.0,081,4,1989,027000,11435.0,270
589,271.0,081,4,8744,027100,11372.0,271
590,271.0,081,4,8744,027100,11373.0,271
591,272.0,081,4,2339,027200,11434.0,272
592,273.0,081,4,7683,027300,11368.0,273
593,273.0,081,4,7683,027300,11372.0,273
594,274.0,081,4,1745,027400,11434.0,274
595,275.0,081,4,6473,027500,11372.0,275
596,277.0,081,4,8299,027700,11372.0,277
597,279.0,081,4,6359,027900,11372.0,279
598,280.0,081,4,1923,028000,11434.0,280
599,281.0,081,4,4547,028100,11372.0,281
600,283.0,081,4,7824,028300,11372.0,283
601,285.0,081,4,4994,028500,11372.0,285
602,287.0,081,4,6377,028700,11372.0,287
